subject,trial,condition,group,Fz_N100,FCz_N100,Cz_N100,FC3_N100,FC4_N100,C3_N100,C4_N100,CP3_N100,CP4_N100,AFz_N100,F2_N100
1,1,1,0,-9.761338095,-11.54521905,-16.77521429,-3.576595238,-11.74516667,-0.895419048,-16.67920476,-5.854428571,-14.47314286,-5.620109524,-11.51854762
1,2,1,0,8.717519048,11.46261905,7.979109524,9.429738095,6.912861905,6.242342857,4.6901,2.7952,1.938528571,7.087042857,9.521780952
1,3,1,0,-4.027285714,-3.992038095,-1.104119048,-3.319471429,0.321314286,0.419538095,0.030619048,2.828195238,2.731533333,-5.319304762,1.080852381
1,4,1,0,0.394095238,-0.663185714,-1.372871429,3.974642857,-1.613666667,2.37602381,-1.5045,2.945,-1.08222381,-0.270219048,-3.785038095
1,5,1,0,-9.368090476,-12.02982857,-10.2801,-7.846471429,-8.170985714,-10.19222857,-6.907095238,-14.041,-9.666709524,-9.386047619,-11.43103333
1,6,1,0,-10.79025714,-10.57236667,-14.63653333,-9.880271429,-15.22922381,-14.0601619,-14.10109048,-15.78203333,-12.05539524,-9.545047619,-9.108161905
1,7,1,0,5.616595238,9.261604762,11.47264286,5.89207619,3.369304762,13.73656667,5.326266667,11.24268095,6.140795238,7.008590476,5.180142857
1,8,1,0,12.26234762,14.2450619,16.9899619,10.31427143,9.561066667,9.339833333,12.02565238,7.889761905,11.9029,7.088280952,5.911180952
1,9,1,0,-0.596852381,-1.241680952,-3.727728571,8.685595238,-4.91327619,6.42372381,-3.755538095,2.639980952,-4.314109524,-2.047733333,-2.147571429
1,10,1,0,-6.015471429,-7.863442857,-9.716157143,-6.245338095,-5.074047619,-1.253328571,-4.245752381,-0.5911,-5.665014286,-6.011390476,-2.001652381
1,11,1,0,-8.439419048,-11.6058,-6.869338095,-4.685542857,-5.668019048,1.312342857,-0.086047619,1.164042857,2.695133333,-5.849904762,-9.92207619
1,12,1,0,8.009242857,10.47245238,7.978966667,6.232680952,11.94127619,9.5418,11.27250476,2.378009524,7.989371429,9.24737619,11.29041905
1,13,1,0,-6.1297,-5.76132381,0.4458,-11.2093381,-0.479780952,-2.066919048,3.265757143,-2.951804762,4.450885714,-10.01191905,-7.968295238
1,14,1,0,14.50363333,17.43761905,22.02941429,13.57088095,12.35965238,15.84625714,15.28916667,16.5634619,17.85342857,10.84829048,10.48681905
1,15,1,0,-25.50025238,-27.90668095,-23.90946667,-17.87955714,-20.99912857,-12.72920952,-15.56144762,-12.9154619,-15.3826381,-19.66448095,-20.12797143
1,16,1,0,-1.455833333,1.0973,8.074938095,-0.16032381,-1.01877619,4.857866667,2.95152381,10.17830952,6.027209524,-2.389166667,-0.422352381
1,17,1,0,7.101971429,9.017380952,11.13389524,10.66755238,5.955714286,3.926119048,4.521657143,11.80845714,6.155247619,5.917466667,8.189561905
1,18,1,0,-9.490752381,-8.463219048,-5.588504762,-12.69095714,-4.752690476,-13.8255381,-6.500938095,-14.69542857,-4.65937619,-10.48126667,-8.629590476
1,19,1,0,-4.584838095,-3.829061905,-0.650728571,1.798980952,-4.729528571,5.657885714,-0.76367619,8.196647619,2.484385714,-4.731071429,-5.968385714
1,20,1,0,-8.570409524,-8.698566667,-7.841404762,-4.816328571,-16.10239048,-7.214004762,-14.4657619,-12.10851429,-12.39368095,-11.90127143,-12.38998571
1,21,1,0,-9.978780952,-9.588109524,-11.90655714,-10.22605238,-11.70665238,-7.022142857,-10.79626667,-8.166833333,-11.22338571,-10.56840952,-12.71569048
1,22,1,0,1.687652381,2.982561905,9.603785714,6.579738095,3.13527619,12.78080952,5.27857619,9.871142857,6.522947619,4.340533333,2.543466667
1,23,1,0,-8.209328571,-7.655547619,-5.161585714,-3.506761905,-11.97408095,-2.491819048,-12.57869524,-7.167304762,-12.13534762,-5.431585714,-11.76133333
1,24,1,0,0.7175,0.222080952,1.805419048,1.134138095,2.108619048,-0.147828571,0.296466667,-0.743109524,0.590719048,3.478080952,0.310009524
1,25,1,0,-8.578347619,-6.249238095,-3.793342857,-8.048019048,-5.068819048,-7.417052381,-4.16477619,-1.5923,-3.872857143,-8.259666667,-6.149990476
1,26,1,0,5.843080952,5.704419048,7.829252381,6.815533333,1.09722381,3.43807619,1.25112381,3.469538095,5.515619048,4.427238095,3.57092381
1,27,1,0,-2.970633333,-0.334471429,-3.061185714,-2.622819048,-3.804071429,-1.292895238,-10.22384286,-6.10787619,-9.936728571,-3.726361905,-3.699885714
1,28,1,0,2.622809524,3.155938095,-0.119819048,10.45415714,-0.344947619,1.196795238,-1.566014286,4.752185714,-0.400395238,-1.118071429,1.295238095
1,29,1,0,-0.732933333,2.395785714,12.80979524,-2.126847619,7.29097619,4.112390476,9.290657143,1.051838095,6.927890476,0.730457143,1.512390476
1,30,1,0,1.862638095,4.868028571,4.474914286,2.210385714,6.904619048,-0.888909524,5.225642857,-2.100147619,7.132504762,0.989780952,2.15212381
1,31,1,0,2.239695238,4.314814286,3.7012,-1.174042857,2.985661905,-2.38577619,5.786038095,0.454895238,5.953842857,-0.072428571,0.430209524
1,32,1,0,11.49709524,10.4371,4.289104762,19.3011381,5.339614286,19.15042857,0.675071429,11.01991905,-3.888566667,11.81656667,8.401238095
1,33,1,0,-7.465933333,-8.288104762,-9.946314286,-9.600366667,-12.6838619,-14.83245238,-15.66563333,-9.993490476,-14.70385238,-7.669619048,-8.938419048
1,34,1,0,9.466728571,12.8383,18.15374286,12.81004762,7.699238095,13.6606619,10.99579524,11.9187619,13.02893333,6.4735,5.538347619
1,35,1,0,9.189795238,13.6057619,13.8890619,7.653204762,14.50778571,8.759704762,13.81112857,8.813642857,15.9441619,9.60977619,13.58324762
1,36,1,0,-3.089185714,-3.198871429,-3.975338095,5.164704762,-8.8888,2.766247619,-10.30867143,3.486461905,-8.996566667,-5.102257143,-8.021057143
1,37,1,0,-12.47216667,-14.34350476,-18.48340952,-13.44687143,-18.13065238,-12.84336667,-16.77375714,-12.91888095,-17.98915238,-14.46498571,-13.85547619
1,38,1,0,-3.266042857,-2.732338095,0.549990476,-6.200947619,-2.577952381,-0.74507619,-0.053428571,2.846428571,1.791938095,-7.940657143,-4.530552381
1,39,1,0,-12.83359524,-10.3173,-4.678447619,-11.59754286,-9.996185714,-5.933695238,-5.480428571,-4.277314286,-4.154266667,-12.02568095,-9.846028571
